Gene,Fold Change
Slc4a7,-2.055
Fras1,2.0524
Tcerg1l,-2.0522
Chd3,-2.0516
Cit,2.0512
Chrdl1,2.0504
Cnih2,-2.0485
Ttc39c,-2.0483
Ighm,2.0474
4932441J04Rik,2.0464
Fam184b,2.0448
Camk2a,-2.0439
Spata13,2.0403
Acvr1c,2.0385
Dock3,2.0385
1437442_at,2.038
Mtrr,-2.0365
BE991564,-2.0364
Gm11681,-2.0357
Neurod2,-2.0357
Cabp1,2.0355
Npy1r,2.033
Tmem255a,-2.0321
Pcdh7,2.0315
Pappa,2.0309
Plcb4,2.0298
Ccdc82,2.0292
Itga7,-2.0282
Ptgs2,2.0246
Usp29,2.0242
BC030499,2.023
Actn2,-2.022
Sema4c,2.0193
Rilpl1,2.0174
Antxr2,-2.0167
Tcf19,2.0153
Akain1,-2.015
Sema7a,2.0141
Apcdd1,-2.0128
1500009L16Rik,-2.0122
1459358_at,-2.0108
B3galt2,-2.0091
P2rx5,-2.0089
Slc39a6,-2.0078
4930447C04Rik,-2.0069
Hs6st1,2.0061
Csgalnact1,-2.0049
Spag5,2.003
Ipcef1,2.0002
Samd4,1.9998
Cenpa,1.999
Clcf1,1.9987
1110032F04Rik,-1.9969
Wipf3,-1.9934
Fam19a2,-1.9905
Faim,-1.9899
Zcchc12,-1.9881
St6gal2,-1.9871
Ccser1,1.9858
Rnf128,-1.9857
Mfsd4a,1.9851
Kcnk1,1.9847
Btg1,-1.9843
Plekho1,1.9843
Csgalnact1,-1.9841
Lcorl,-1.9836
BM239067,-1.9832
D130051D11Rik,1.983
BB342212,-1.9825
Ptpro,1.9824
Mm.417639,1.9807
Cyp11a1,1.9802
Gsto1,-1.9798
AV380966,-1.9797
Zfp385b,1.9794
Lhx9,-1.9778
Serpina3n,-1.9734
Camkk2,1.9732
1700066D14Rik,-1.9722
Galnt3,-1.9717
Trpm3,-1.971
Itpr1,-1.9695
Slc8a1,-1.9683
Siae,1.968
Apcdd1,-1.9662
Btbd9,-1.9655
Lmna,1.9594
Fyco1,-1.9575
Ptprk,1.9567
BG074974,1.9567
Stard4,1.956
Lhfpl2,-1.9556
Clvs2,-1.9541
Tmtc4,-1.9516
Nrp1,-1.9508
Ptpro,1.9505
Pcsk2,1.9502
Rab27b,-1.9501
Spata13,1.95
BB636266,1.95
Nptx2,1.9469
Frmd4b,-1.9457
Cpne5,1.945
Prex1,1.9448
Tmem114,1.9436
Hnrnpdl,1.9419
Csf1,-1.9411
Iqca,-1.9391
Upp1,-1.9389
Rgs14,-1.9375
Camk2a,-1.9359
Arhgap15,-1.9355
Itga4,-1.9354
BB353853,-1.9347
Onecut2,-1.9336
Atp2b2,1.9322
Dgat2,-1.9268
Fnip2,-1.9262
Pgr,1.926
Hdac1,-1.9249
Tubb2a,-1.9232
Jph1,-1.9222
Camk2a,-1.9205
Grtp1,1.9202
1441172_at,1.9193
Unc5c,1.919
5430434G16Rik,-1.9188
Samd4,1.9184
Tspan17,1.918
Sox11,-1.9172
Fdft1,1.9169
BB128657,1.914
Ccne2,-1.9127
Stard5,-1.9125
Cdh11,-1.9109
Pdgfc,-1.9091
Mycl,-1.9086
Prkg2,-1.9081
Apcdd1,-1.9079
Itpr1,-1.9078
Arhgef2,1.9077
Cadps2,1.9066
Parm1,-1.9059
Ttc39c,-1.9052
Ttc39c,-1.9049
Fmn1,1.9032
Cdk18,-1.9026
Dpyd,-1.9021
Lin7a,1.9019
Klhl32,-1.9015
Rcn1,-1.9003
Ntng1,1.8996
Tmem74,-1.8979
Synm,-1.8954
Emp2,1.8943
Adamtsl5,1.8938
Slc26a10,-1.8937
Efna3,-1.8904
AI661167,-1.8895
Ccnjl,-1.8893
Ppfia4,1.8892
Smo,-1.888
Lpar4,-1.8845
Hhatl,1.8828
Ifitm10,1.8824
Nfatc2,1.8822
Plec,1.8822
Trpc6,1.8816
Neurl1b,-1.8812
Cotl1,-1.8777
Hectd2,-1.877
Notch1,1.877
Mtcl1,1.8766
Rnf217,1.876
Cish,1.8759
Msrb3,1.8759
Mkl1,-1.8756
Pus7l,-1.8752
Pxdc1,-1.8744
Nexmif,-1.8744
Bbs12,-1.8737
Pappa,1.871
1458703_at,1.8706
Flywch2,1.8696
Ecm2,-1.8695
Iigp1,-1.869
Nrip2,-1.8685
Cdkl1,-1.8681
BB148868,1.8677
Zfp703,1.8677
Hivep1,1.8674
Fos,-1.8668
Tenm2,1.8654
Arnt2,-1.8635
Rragd,1.8615
Dhtkd1,-1.8613
Fam126a,-1.8604
Clmn,-1.8592
Adam8,-1.858
Zfp189,-1.8576
Ccdc126,-1.8561
Carmil1,-1.8542
1441769_at,-1.8542
Smpdl3b,-1.8539
Dll1,-1.8538
Ntng1,1.8537
Hs3st4,-1.8535
B3galt5,-1.8535
Epha10,-1.8529
Nptxr,1.8511
Hmgcs1,1.8509
Trak1,1.8507
Dazl,-1.8496
Fndc1,-1.8496
Sema5b,1.8485
Pdzrn4,-1.8484
Cxcl12,1.8466
Synpo,1.8465
Adam23,1.8462
Nr3c2,-1.8459
Fdft1,1.8458
Scgn,-1.8456
Rnf19a,-1.8453
Spon1,-1.8445
Per2,-1.8438
Spata2,-1.843
Slc29a4,-1.8425
Samd14,-1.8424
Spin2c,-1.8424
Cryz,-1.8424
Dcakd,-1.8423
Rimklb,-1.8421
Ldb3,-1.8408
Nlk,1.8403
Fat4,-1.8402
Hr,1.8399
2610007B07Rik,-1.8398
Smco3,-1.8381
Fjx1,-1.8381
Cidea,1.837
Mfsd13b,-1.837
Gad1,-1.8362
Lpin2,-1.836
Dus4l,-1.8357
