Gene,Fold Change
Esrrb,1.6969
Trp53i11,-1.6964
Flt3,-1.6963
Plcxd3,1.6956
Rspo2,1.6955
Ccnf,1.6951
Gpr153,1.6933
Parm1,-1.6931
Ptpn5,1.6922
Tenm1,-1.6919
E130008D07Rik,-1.691
Gss,-1.6906
Zfp808,-1.6905
AU023762,1.6902
S100a6,1.6902
Gm5468,1.689
Mc4r,-1.6889
Acvr1,1.688
Basp1,1.6877
Gpr3,1.687
Igsf10,1.6866
Gdf10,-1.6851
Grpr,1.6831
Kitl,-1.6825
Nfkb2,1.682
Slc16a11,-1.6817
Jup,1.6802
St8sia2,1.6802
Fam43b,1.6798
Fosl2,1.6788
Trp63,-1.6785
A230103J11Rik,1.6777
Vrk1,-1.6774
Zic1,-1.6769
Serpinf1,1.6767
Pnck,-1.6765
Hmox1,1.6763
Igsf9,1.676
Lcorl,-1.6752
Tesc,1.6735
Plcg2,-1.6729
Cldn5,1.6727
Frmpd1,-1.6691
Lrrn4,-1.6691
Sv2c,1.668
Cdyl2,1.6679
Sv2b,1.6678
4930570G19Rik,-1.6674
Kctd14,-1.666
Fam171a2,1.6653
Egfl6,-1.6643
Amer3,-1.6628
Mfap4,1.6614
1810032O08Rik,-1.6602
Miat,-1.6599
Shisa4,1.6589
Gm3002,-1.6586
Lgals4,-1.6565
5730559C18Rik,1.6565
1600020E01Rik,-1.6528
Pdzrn3,-1.6514
Krt77,-1.6513
Chil1,1.6494
Gpat3,1.6489
Iigp1,-1.6486
Sap30,1.6485
Ptgs2,1.6481
Adam19,1.648
Gm1673,1.648
Cirbp,-1.6474
Sema5b,-1.6469
Chchd10,1.6446
Midn,1.6433
Adcyap1r1,-1.6429
Medag,1.6421
Sned1,-1.6405
Lsm11,1.6395
Pcdh8,1.6385
Rph3al,-1.638
Dmrta2,1.6377
Ehhadh,-1.6368
Hoga1,-1.6367
Cped1,-1.6352
Plxdc1,1.6345
Kcnh5,-1.6339
Obscn,-1.6336
Rab39,1.6336
Csmd3,-1.6335
Rprml,1.6326
Foxk1,-1.6321
Hpgd,1.6311
LOC100861615,-1.6299
Fam117a,-1.6299
Slc35g1,-1.6292
Ptgfrn,1.6268
Cldn11,1.6265
Ell2,1.6265
Psmc3ip,-1.6259
Arhgef3,-1.6257
Tuba8,1.6252
Parp8,1.6248
Ndst4,-1.6248
Epop,-1.6247
Rnaseh2c,1.6214
Slc20a1,1.6203
Cdc42ep4,-1.6196
Aim2,-1.6194
2610316D01Rik,-1.619
Arhgap20,-1.6183
Hpdl,-1.6181
Slc17a6,1.6176
Ppp1r3g,-1.6174
Syt12,1.6167
Rsrp1,1.6155
Ecm1,1.6133
Gpc2,1.6129
1700123M08Rik,-1.6126
Frmd4b,-1.6123
Gad2,1.6102
Ipw,-1.6102
Bhlhe40,-1.6097
Cxadr,1.6096
Ap1s1,1.6094
Gucy2e,-1.6093
2810025M15Rik,-1.6088
Pm20d2,-1.6085
9330020H09Rik,-1.607
Stk26,-1.6065
Pfkfb3,1.6062
Ggta1,1.6061
Ndc1,1.6059
Plat,1.6052
Thsd4,1.6049
Bdnf,1.6044
Adra2a,1.6037
Tusc1,1.6023
Lpin2,1.6012
Hlf,-1.6005
Fgf11,1.6001
Cyp1b1,-1.6001
Snhg11,1.6
Trp53inp2,1.5998
Fam13a,-1.5995
Mcm9,-1.5994
Adamts20,-1.5988
Mgat5b,-1.5983
Magee2,-1.597
Cep152,-1.5965
Zfp991,-1.5963
Btg2,-1.5954
Stmn2,1.5949
Bok,1.5943
Prdm5,-1.593
Aifm3,-1.5919
Myl9,-1.5919
Dock11,-1.5918
Trim36,1.5917
Adgrl3,1.5913
Appl2,-1.5909
Pxdc1,-1.5907
Slc44a5,-1.5901
Gm10406,-1.59
Abhd14b,-1.5892
Dgat2,-1.5884
Tgfa,-1.5878
Dok7,1.5877
Ubtd1,1.5844
Ltk,-1.584
Dapk1,-1.5838
Gm3414,-1.5833
Gstm7,-1.5827
Gm37013,-1.5825
Nefm,1.5825
Mirg,1.5824
Mfge8,-1.5823
